adobereader,Adobe.Acrobat.Reader.64-bit,
advanced-ip-scanner,Famatech.AdvancedIPScanner,
anydesk,AnyDeskSoftwareGmbH.AnyDesk,
atom,GitHub.Atom,
audacity,Audacity.Audacity,
brave,Brave.Brave,
googlechrome,Google.Chrome,
cpu-z,CPUID.CPU-Z,
discord,Discord.Discord,
firefox,Mozilla.Firefox,
gimp,GIMP.GIMP,
git;github-desktop,Git.Git;GitHub.GitHubDesktop,
gpu-z,TechPowerUp.GPU-Z,
jetbrainstoolbox,JetBrains.Toolbox,
nodejs,OpenJS.NodeJS,
nodejs-lts,OpenJS.NodeJS.LTS,
notepadplusplus,Notepad++.Notepad++,
obs-studio,OBSProject.OBSStudio,
powertoys,Microsoft.PowerToys,
putty,PuTTY.PuTTY,
rufus,Rufus.Rufus,
7zip,7zip.7zip,
signal,OpenWhisperSystems.Signal,
skype,Microsoft.Skype,
slack,SlackTechnologies.Slack,
sublimetext4,SublimeHQ.SublimeText.4,
microsoft-teams,Microsoft.Teams,
microsoft-windows-terminal,Microsoft.WindowsTerminal,
vlc,VideoLAN.VLC,
vscode,Git.Git;Microsoft.VisualStudioCode,
wireshark,WiresharkFoundation.Wireshark,
zoom,Zoom.Zoom,
rust,Rustlang.Rust.MSVC,
git,Git.Git,
tor-browser,TorProject.TorBrowser,
telegram,Telegram.TelegramDesktop,
qbittorrent,qBittorrent.qBittorrent,
open-shell,Open-Shell.Open-Shell-Menu,
powershell-core,Microsoft.PowerShell,
onedrive,Microsoft.OneDrive,
microsoft-edge,Microsoft.Edge,
